"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (12%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (12%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (5%)","17"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (12%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (5%);/Users/lord/Documents/2016green21/2016greenironhack2-wluan/ (9%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-mgogte/ (91%);/Users/lord/Documents/2016green21/2016greenironhack2-mgogte/ (91%)","10"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (5%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (8%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (7%)","14"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (7%)","14"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (2%)","11"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (7%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (5%)","11"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (7%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack-pjt90/ (8%)","11"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (0%)","10"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (5%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (7%);/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (7%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (5%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-pmittal115/ (43%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-pmittal115/ (43%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (11%);/Users/lord/Documents/2016green21/2016greenironhack-pmittal115/ (43%)","10"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (7%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-pmittal115/ (43%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (5%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (5%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (6%)","7"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (7%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (5%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (7%)","7"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-abelal16/ (19%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (2%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (4%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (7%)","7"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-ishwetasingh/ (0%)","4"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (10%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (5%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (5%)","10"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-ishwetasingh/ (0%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-abelal16/ (19%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (2%)","6"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (10%);/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (2%)","4"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-abelal16/ (15%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-meetalivaidya/ (6%)","9"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (8%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (4%)","8"
