"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (3%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (7%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (2%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (4%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (2%)","8"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (2%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (4%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (2%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (1%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (4%)","10"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-wluan/ (4%)","8"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (7%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (6%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (2%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-crloflin/ (12%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (7%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (6%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (2%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (3%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-crloflin/ (12%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (6%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (2%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-Christyyy/ (14%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-jeffkeilmann/ (25%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","16"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (2%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (3%)","5"
